178,www.uoa.gr,195.134.71.229,38.000,23.733,GR.UOA.N1,University of Athens,uoa.gr,NOT-SET
179,ns2.indiana.edu,129.79.5.100,39.165,-86.517,ns2.indiana.edu,Indiana University,indiana.edu,ZN
180,www.nren.nasa.gov,198.10.138.131,37.4125,-122.062,nren.nasa.gov,NASA Research & Education Network,nren.nasa.gov,ZN
181,aim-e1.ph.net,165.220.1.29,14.600,120.983,ph.net,Philippine Network Foundation,ph.net,Z
182,203.255.248.205,203.255.248.205,37.550,126.967,kr.apan.net,Asia-Pacific Advanced Network Korea Consortium,kr.apan.net,ZN
183,152.3.57.20,152.3.57.20,35.997,-78.883,duke.edu,Duke University,duke.edu,Z
184,hepwww.ph.qmw.ac.uk,138.37.51.91,51.500,-0.167,UK.QMW.AC.N1,Queen Mary and Westfield College,qmw.ac.uk,NOT-SET
185,tpr.kr.apan.net,203.255.248.1,37.550,126.967,tpr.kr.apan.net,Asia-Pacific Advanced Network,tpr.kr.apan.net,ZN
186,ns1.tcd.ie,134.226.1.114,53.333,-6.250,IE.TCD.N1,Trinity College Dublin,tcd.ie,NOT-SET
187,ns-ext.vix.com,204.152.184.64,37.428,-122.250,vix.com,Vixie Enterprises,vix.com,Z
188,www.uol.com.br,200.221.2.45,-15.783,-47.917,BR.UOL.N1,UOL,uol.com.br,NOT-SET
189,ns3.nic.fr,192.134.0.49,48.867,2.333,nic.fr,Associano French Network Information Center,nic.fr,Z
190,ns.dns.br,200.160.0.5,-15.783,-47.917,BR.DNS.N1,DNS Brasil,dns.br,NOT-SET
191,h-st2-7.aspn.net,63.25.143.3,34.053,-118.3,aspn.net,Asia-Pacific Advanced Network,aspn.net,Z
192,ns2.dns.br,200.19.119.99,-15.783,-47.917,BR.DNS.N3,DNS Brasil,dns.br,Z
193,www.agestado.com.br,200.182.48.131,-15.783,-47.917,agestado.com.br,Estado.com,agestado.com.br,Z
194,www.centroin.com.br,200.225.63.214,-15.783,-47.917,CENTROIN.BR,Centroin Internet Provider,www.centroin.com.br,Z
195,www.btm.com.br,200.218.6.3,-15.783,-47.917,BTM.BR,Bank of Tokyo-Mitsubishi Brasil,www.btm.com.br,Z
196,www.globalone.com.br,189.126.103.227,-15.783,-47.917,BR.GLOBALONE.COM.N1,Equant,globalone.com.br,NOT-SET
197,www.embratel.net.br,200.255.125.206,-15.783,-47.917,BR.EMBRATEL.NET.N1,Embratel,embratel.net.br,NOT-SET
198,ns.hip.fi,128.214.56.84,60.167,24.967,FI.HIP.N1,Helsinki Institute of Physics,hip.fi,NOT-SET
199,www.pol34.pl,212.51.192.18,52.250,21.000,PL.POL34.N1,Polish Scientific Broadband Network,pol34.pl,NOT-SET
200,ns.nownuri.net,203.238.128.24,37.550,126.967,nownuri.net,Nownuri,nownuri.net,Z
201,frcu.eun.eg,193.227.1.1,30.050,31.250,EG.EUN.N1,Egyptian Universities Network,eun.eg,B
202,www.uzsci.net,83.69.129.8,41.32,69.3,UZ.UZSCI.NET.N1,UzSciNet: Scientific & Education Network for Uzbekistan,uzsci.net,NOT-SET
